S NO,APPLICATION NUMBER,NAME OF THE CANDIDATE,AGGREGATE MARK,RANK,COMMUNITY,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,380614,,198.5,824,MBC,2732,EC,OC
2,419243,,194.5,5421,SC,3018,CS,SC
3,330377,,192,9560,MBC,2628,SC,OC
4,449840,,192,9939,MBC,3843,IT,MBC
5,456068,,191.5,10954,MBC,1325,CS,MBC
6,355910,,191,11459,MBC,2632,EC,OC
7,473622,,191,11698,SC,2743,CS,SC
8,280056,,191,11923,MBC,3843,EC,OC
9,455496,,190,13806,BC,2622,CE,OC
10,239752,,188.5,16392,BC,1412,EE,OC
11,429504,,185.5,23098,SC,1509,CB,SC
12,246888,,185.5,23163,BCM,3804,CS,BCM
13,444605,,185,24226,MBC,5,CZ,OC
14,452462,,184.5,25400,MBC,3841,CS,MBC
15,313857,,184.5,25739,SC,1211,AU,SC
16,354957,,184.5,25759,MBC,2601,EC,MBC
17,370991,,184,26412,MBC,2610,EC,OC
18,455247,,184,26960,MBC,1226,EE,OC
19,435102,,183.5,28195,MBC,2610,EC,OC
20,398409,,183,29277,BC,3817,CS,BC
21,426413,,182,31184,BC,2620,EC,BC
22,338903,,182,31475,MBC,1203,CS,MBC
23,403724,,180,36323,MBC,1126,AD,MBC
24,391205,,179,38714,BC,2610,CS,OC
25,252216,,178.5,39328,SC,4678,AD,SC
26,336931,,178.5,39480,BC,4676,CS,BC
27,341822,,178.5,39533,BC,2762,EC,BC
28,409018,,178.5,39808,BCM,2613,EE,BCM
29,364584,,178.5,39829,MBC,2621,AD,MBC
30,366488,,178.5,39893,MBC,2634,CS,MBC
31,417535,,178.5,40087,SC,2755,SC,SC
32,429945,,178.5,40304,MBC,3016,EE,MBC
33,477366,,178.5,40366,SC,2621,AD,SC
34,480034,,178,40518,MBC,2776,AD,MBC
35,368465,,178,40710,BC,1420,IT,BC
36,421336,,178,40771,MBC,2776,AD,MBC
37,370039,,178,40843,BC,2704,MZ,BC
38,269386,,178,40986,BCM,3918,AD,OC
39,447087,,178,41251,SC,4955,CS,SC
40,389190,,178,41276,SC,5,EI,SC
41,298119,,178,41563,BC,1520,EC,BC
42,365322,,178,41605,MBC,2610,EC,OC
43,377247,,178,41641,BC,1441,EE,OC
44,477321,,178,41642,MBC,1325,CS,MBC
45,501169,,178,41650,MBC,3829,IT,OC
46,447582,,178,41678,SC,5,ME,SC
47,212487,,177.5,41717,SC,1419,EE,SC
48,270484,,177.5,41923,SC,2737,AD,SC
49,411083,,177.5,41995,BC,2643,AD,OC
50,415116,,177.5,42060,SC,1210,IT,SC
51,262933,,177.5,42257,BC,1431,SC,BC
52,444148,,177.5,42282,SC,2718,ME,SC
53,379210,,177.5,42510,SC,2656,EC,SC
54,501297,,177.5,42550,SC,3855,AD,OC
55,284731,,177.5,42573,BC,4980,CS,BC
56,336375,,177.5,42693,SC,2729,CS,SC
57,229641,,177.5,42866,MBC,2622,EE,MBC
58,451054,,177.5,42929,BC,2643,IT,OC
59,403636,,177,43135,BCM,1322,AE,OC
60,273527,,177,43158,BC,4981,AD,BC
61,388369,,177,43172,MBC,1405,AD,MBC
62,492927,,177,43238,BC,2643,AD,OC
63,362417,,177,43333,MBC,2737,AD,MBC
64,419345,,177,43344,BC,2707,EC,BC
65,354106,,177,43388,SC,1431,CS,SC
66,397841,,177,43445,BC,4917,EE,BC
67,347311,,177,43724,BCM,1015,EC,BCM
68,472437,,177,43730,MBC,2611,CS,MBC
69,491479,,177,43731,SC,2622,CS,SC
70,252849,,177,44163,BC,3817,EE,OC
71,434413,,176.5,44319,MBC,1405,EC,MBC
72,397456,,176.5,44413,MBC,3807,AD,MBC
73,332001,,176.5,44498,MBC,3918,SC,OC
74,399471,,176.5,44751,BC,2345,CS,BC
75,223621,,176.5,44926,BC,3905,CS,BC
76,394648,,176.5,45022,MBC,1412,EC,MBC
77,417867,,176.5,45078,MBC,1325,SC,MBC
78,415270,,176.5,45287,BC,2611,IT,BC
79,254417,,176.5,45470,MBC,2627,IT,OC
80,494439,,176.5,45557,MBC,5,CH,MBC
81,250404,,176,45602,BCM,4961,CS,OC
82,428221,,176,45671,MBC,2753,AD,MBC
83,302039,,176,45841,BC,2611,EC,BC
84,282570,,176,45852,BC,4680,CS,BC
85,261355,,176,45903,SC,1210,IT,SC
86,400289,,176,46121,MBC,5,ME,MBC
87,488647,,176,46271,MBC,2776,AD,MBC
88,479001,,176,46372,MBC,2748,AD,OC
89,378709,,176,46447,BC,2643,CS,OC
90,257125,,176,46450,MBC,1114,EE,MBC
91,228514,,176,46556,BC,1237,MZ,BC
92,249015,,176,46565,SC,1316,CS,SC
93,241438,,176,46572,BC,5,CH,BC
94,380278,,175.5,46891,SC,1114,CS,SC
95,267400,,175.5,46936,MBC,2611,EC,MBC
96,306912,,175.5,47174,SC,1113,EV,SC
97,299522,,175.5,47204,MBC,1118,ME,MBC
98,260935,,175.5,47282,BC,2762,EC,BC
99,347628,,175.5,47292,BC,2636,CE,OC
100,296693,,175.5,47332,BC,2708,ME,BC
101,347779,,175.5,47709,BC,1123,AM,OC
102,394266,,175.5,47765,BC,3786,CS,OC
103,234321,,175.5,47849,MBC,5530,IT,MBC
104,200516,,175.5,47914,BC,2656,EE,BC
105,351803,,175.5,48055,MBC,1412,EC,MBC
106,414227,,175,48216,MBC,2625,CS,OC
107,399221,,175,48294,BC,1233,CS,OC
108,415246,,175,48299,MBC,2621,IT,OC
109,272138,,175,48342,BC,3011,MB,BC
110,326015,,175,48419,BC,1431,IT,BC
111,262721,,175,48421,MBC,3805,CS,MBC
112,291179,,175,48484,MBC,2745,EC,MBC
113,359165,,175,48754,BC,3807,AD,BC
114,427726,,175,48788,MBC,2613,EE,MBC
115,434997,,175,48928,BC,3019,EE,BC
116,329159,,175,48939,BC,5,CE,BC
117,475612,,175,48962,MBC,1412,CB,MBC
118,374853,,175,49063,MBC,1238,IT,OC
119,493595,,175,49066,BC,2643,CS,OC
120,220004,,175,49078,MBC,1126,EV,MBC
121,263539,,175,49117,BC,2643,AD,OC
122,430469,,175,49233,SC,3805,CE,OC
123,291392,,175,49301,MBC,2347,AD,OC
124,264845,,175,49320,MBC,1405,AD,MBC
125,330934,,175,49387,MBC,1322,EC,MBC
126,350057,,174.5,49590,MBC,2618,SF,OC
127,416943,,174.5,49636,MBC,2770,EC,OC
128,472700,,174.5,49759,SCA,2302,SC,OC
129,421277,,174.5,49769,MBC,1412,CB,MBC
130,213945,,174.5,49903,MBC,3806,EC,MBC
131,228889,,174.5,49906,BCM,3826,CS,BCM
132,229794,,174.5,49952,MBC,2621,AM,MBC
133,259664,,174.5,50134,BC,2770,IT,BC
134,500725,,174.5,50319,SC,1210,AD,SC
135,319997,,174.5,50371,MBC,2621,EC,MBC
136,353646,,174.5,50389,SC,3826,EC,SC
137,348760,,174.5,50463,BC,2610,AM,OC
138,339652,,174.5,50492,SC,1122,CS,SC
139,271093,,174.5,50544,SC,2736,CE,SC
140,398246,,174.5,50663,MBC,2609,EC,MBC
141,345485,,174.5,50744,BCM,3843,CS,BCM
142,390073,,174.5,50754,SC,3466,AD,OC
